objectno;objectuid;objectname;year;month;day;externalid;drivingevents_avg_severity;drivingevents_braking_avg_severity;drivingevents_braking_count;drivingevents_count;drivingevents_forward_avg_severity;drivingevents_forward_count;drivingevents_steering_avg_severity;drivingevents_steering_count;ecostats_co2emission;ecostats_fuelusage;ecostats_idletime;ecostats_overrevvingtime;ecostats_wastedfuel;optidrive_indicator;optidrive_indicator_driving;optidrive_indicator_fuel;optidrive_indicator_idling;optidrive_indicator_speeding;orders_cancelled;orders_completed;orders_ontime;speedingevents_avg_violation;speedingevents_count;speedingevents_speedingtime;tripstats_count;tripstats_drivingtime;tripstats_mileage;tripstats_mileagebusiness;tripstats_mileageprivate;tripstats_usagetime;idVehiculo
4006;1-83646-29989963B0;FARID IVECO AD260;2016;9;26;;;;;;;;;;388222;146499;1268;8740;1500;0.653;1.0;0.843;0.354;0.424;;;;0.074;22;2460;5;23440;251865;251865;0;45144;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;9;27;;1.431;1.288;8;13;;;1.66;5;389550;147000;2101;9018;2000;0.587;0.478;0.907;0.25;0.457;;;;0.074;19;1960;6;24322;259725;259725;0;70312;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;9;28;;;;;;;;;;385575;145500;1648;8876;3000;0.649;1.0;0.864;0.295;0.423;;;;0.078;24;2330;4;23557;252640;252640;0;45298;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;9;29;;1.1;;;1;;;1.1;1;385575;145500;2648;8569;2000;0.64;0.893;0.866;0.203;0.48;;;;0.059;20;2070;6;23981;252935;252935;0;86474;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;9;30;;1.15;1.0;1;4;;;1.2;3;369675;139500;1069;8631;1000;0.634;0.719;0.945;0.387;0.394;;;;0.087;23;2430;5;22693;250940;250940;0;43704;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;8;1;;1.65;1.9;1;2;;;1.4;1;333900;126000;1572;7077;1500;0.588;0.629;0.598;0.278;0.521;;;;0.056;12;1380;4;20755;201700;201700;0;45652;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;8;2;;1.7;2.5;1;3;;;1.3;2;357750;135000;3647;7732;4500;0.57;0.581;0.625;0.136;0.43;;;;0.088;18;1740;6;21943;218175;218175;0;52715;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;8;3;;1.1;1.1;1;1;;;;;278250;105000;3656;5945;4500;0.614;0.838;0.765;0.106;0.469;;;;0.081;13;1180;7;17938;179400;179400;0;61393;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;8;4;;1.477;1.857;7;22;;;1.3;15;405450;153000;5207;9098;5500;0.519;0.405;0.674;0.096;0.475;;;;0.055;17;2250;8;23687;251770;251770;0;78730;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;8;5;;1.542;1.533;6;12;;;1.55;6;390875;147500;3349;9100;2035;0.546;0.451;0.803;0.155;0.385;;;;0.085;23;2703;5;22824;255680;255680;0;78516;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;8;6;;1.263;1.267;6;8;;;1.25;2;215975;81500;5403;4116;3500;0.462;0.506;0.161;0.009;0.538;;;;0.078;6;484;5;11763;111795;111795;0;89867;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;8;7;;1.65;1.838;13;28;;;1.487;15;356425;134500;763;7823;1500;0.507;0.327;0.439;0.425;0.479;;;;0.066;13;1450;3;18892;202310;202310;0;39359;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;8;8;;1.567;1.1;1;3;;;1.8;2;337875;127500;6011;7236;6500;0.557;0.607;0.604;0.065;0.487;;;;0.065;14;1570;5;21303;203420;203420;0;87091;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;8;9;;1.325;1.1;3;8;;;1.46;5;381600;144000;2829;8920;2500;0.576;0.566;0.825;0.18;0.405;;;;0.081;21;2405;8;22483;250785;250785;0;67436;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;8;10;;1.1;1.1;1;2;;;1.1;1;320650;121000;6386;6342;4000;0.539;0.799;0.287;0.041;0.582;;;;0.054;9;810;5;18499;172215;172215;0;42200;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;8;11;;;;;;;;;;340525;128500;4415;7351;3000;0.602;1.0;0.575;0.102;0.508;;;;0.06;15;1440;6;21032;202280;202280;0;73354;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;8;12;;1.62;1.867;3;5;;;1.25;2;380275;143500;2630;8079;3500;0.546;0.532;0.622;0.187;0.494;;;;0.061;13;1630;8;21739;229740;229740;0;86243;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;8;13;;1.3;1.3;1;1;;;;;341850;129000;1804;7217;2500;0.565;0.763;0.505;0.243;0.497;;;;0.062;13;1430;4;20151;197500;197500;0;43989;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;8;14;;1.686;1.983;12;22;;;1.33;10;337875;127500;382;7712;499;0.551;0.339;0.609;0.599;0.49;;;;0.062;12;1430;2;18928;202910;202910;0;39977;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;8;15;;1.533;1.15;2;6;;;1.725;4;323300;122000;5224;6464;4500;0.473;0.5;0.239;0.059;0.554;;;;0.057;11;900;3;17661;169275;169275;0;44272;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;8;16;;1.629;1.59;20;56;;;1.65;36;348475;131500;1716;7483;2500;0.498;0.29;0.54;0.246;0.492;;;;0.066;12;1350;3;19450;203125;175810;27315;44364;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;8;17;;1.8;;;1;;;1.8;1;332575;125500;3663;6898;2500;0.558;0.648;0.613;0.119;0.51;;;;0.055;13;1430;5;19686;198890;198890;0;85920;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;8;18;;1.7;1.7;1;1;;;;;348475;131500;4300;7237;4000;0.534;0.675;0.477;0.101;0.464;;;;0.076;14;1490;5;20300;198130;198130;0;43401;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;8;19;;;;;;;;;;329925;124500;968;7096;1000;0.633;1.0;0.589;0.376;0.475;;;;0.068;13;1510;4;19627;195395;195395;0;41037;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;8;20;;1.375;1.467;3;4;;;1.1;1;355100;134000;1315;7718;2000;0.569;0.617;0.485;0.306;0.468;;;;0.071;14;1523;3;19736;202135;202135;0;44888;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;8;21;;1.3;1.35;2;4;;;1.25;2;310050;117000;1073;6113;1000;0.532;0.614;0.255;0.317;0.526;;;;0.064;9;940;3;16916;162635;162635;0;37992;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;8;22;;1.56;;;5;;;1.56;5;353775;133500;1479;7325;2500;0.564;0.54;0.483;0.288;0.513;;;;0.066;12;1230;5;20528;200545;200545;0;88246;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;8;23;;1.2;;;3;;;1.2;3;356425;134500;6941;7090;6000;0.514;0.715;0.418;0.041;0.448;;;;0.084;15;1480;7;20003;196870;196870;0;81266;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;8;24;;1.813;1.509;11;48;;;1.903;37;367025;138500;1981;7472;2500;0.469;0.264;0.378;0.219;0.486;;;;0.078;13;1190;3;19549;199840;199840;0;86516;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;8;25;;1.5;1.5;2;3;;;1.5;1;356425;134500;3672;7389;3500;0.537;0.619;0.449;0.124;0.485;;;;0.069;14;1430;5;20436;198690;198690;0;44289;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;8;26;;1.56;2.5;1;5;;;1.325;4;340525;128500;2456;7209;2500;0.531;0.539;0.551;0.187;0.461;;;;0.075;14;1550;3;20310;196850;196850;0;42226;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;8;27;;1.1;;;2;;;1.1;2;131175;49500;801;2584;1500;0.619;0.717;0.904;0.216;0.352;;;;0.104;10;920;2;7789;87230;87230;0;17440;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;8;28;;1.44;1.2;4;5;;;2.4;1;310050;117000;3001;6143;3000;0.507;0.55;0.276;0.125;0.543;;;;0.06;10;880;4;16815;162430;162430;0;38758;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;8;29;;1.1;;;1;;;1.1;1;356425;134500;3235;7191;3500;0.569;0.883;0.462;0.143;0.486;;;;0.069;13;1420;3;20419;198475;198475;0;44650;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;8;30;;1.714;2.3;5;14;;;1.389;9;402800;152000;700;8917;500;0.546;0.384;0.668;0.488;0.431;;;;0.071;19;2300;4;22289;242525;242525;0;45624;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;8;31;;1.905;2.023;13;55;;;1.869;42;412075;155500;1738;9054;2000;0.504;0.243;0.666;0.274;0.427;;;;0.082;21;2010;3;22522;248015;248015;0;42874;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;7;1;;1.58;1.9;1;5;;;1.5;4;274275;103500;2366;6437;2000;0.578;0.506;0.955;0.158;0.426;;;;0.069;17;1830;4;16412;189105;189105;0;75973;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;7;2;;1.25;1.0;1;4;;;1.333;3;406775;153500;1957;9148;2000;0.606;0.688;0.773;0.26;0.465;;;;0.064;21;2100;4;23789;260380;260380;0;47098;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;7;3;;1.71;1.642;12;20;;;1.813;8;373650;141000;2602;8715;4500;0.531;0.352;0.831;0.188;0.458;;;;0.061;15;2110;3;21595;245140;245140;0;41592;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;7;4;;1.15;1.3;1;2;;;1.0;1;372325;140500;1067;8857;2500;0.669;0.791;0.923;0.403;0.453;;;;0.066;18;2300;4;24229;254370;254370;0;45926;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;7;5;;1.267;1.4;1;3;;;1.2;2;201400;76000;6032;4377;4000;0.592;0.629;0.903;0.002;0.445;;;;0.086;9;900;3;12320;136310;136310;0;81466;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;7;6;;1.267;1.1;1;3;;;1.35;2;186825;70500;1126;4264;500;0.607;0.617;0.902;0.22;0.429;;;;0.074;11;1110;4;11151;126800;126800;0;68392;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;7;7;;1.675;1.883;12;20;;;1.363;8;390875;147500;2526;8930;2500;0.57;0.374;0.806;0.216;0.496;;;;0.059;14;1850;4;24487;254945;254945;0;56949;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;7;8;;;;;;;;;;372325;140500;4796;8563;4000;0.659;1.0;0.946;0.113;0.446;;;;0.07;20;2270;3;24656;258050;258050;0;46341;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;7;9;;1.591;1.65;2;11;;;1.578;9;389550;147000;2668;9134;2500;0.579;0.454;0.888;0.2;0.428;;;;0.067;22;2703;3;23801;263810;263810;0;47973;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;7;10;;1.371;1.48;5;7;;;1.1;2;380275;143500;1252;8765;1500;0.615;0.573;0.839;0.368;0.475;;;;0.06;18;2152;6;24555;252620;252620;0;76672;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;7;11;;2.033;2.333;6;12;;;1.733;6;372325;140500;1267;8989;2500;0.573;0.36;0.817;0.345;0.567;;;;0.054;12;1097;4;22578;245090;245090;0;47449;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;7;12;;1.55;1.533;12;28;;;1.563;16;402800;152000;1138;9307;1500;0.559;0.366;0.789;0.381;0.452;;;;0.065;22;2254;3;23590;262580;262580;0;46820;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;7;13;;1.81;1.95;6;10;;;1.6;4;394850;149000;2542;8986;3500;0.584;0.426;0.862;0.216;0.495;;;;0.054;21;2066;3;24641;265555;265555;0;46613;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;7;14;;1.522;1.7;2;9;;;1.471;7;393525;148500;2213;8945;3000;0.588;0.491;0.831;0.234;0.465;;;;0.056;25;2382;3;23622;261410;261410;0;46271;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;7;15;;1.55;1.733;3;8;;;1.44;5;393525;148500;1283;8926;1500;0.623;0.507;0.802;0.36;0.527;;;;0.044;17;1903;4;24358;258525;258525;0;46377;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;7;16;;1.257;1.35;4;7;;;1.133;3;394850;149000;2630;8763;3000;0.599;0.608;0.798;0.202;0.468;;;;0.062;21;2116;3;23617;259050;259050;0;45739;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;7;17;;1.886;2.49;10;28;;;1.55;18;393525;148500;1124;9026;2000;0.512;0.294;0.703;0.362;0.466;;;;0.057;16;2154;5;21507;248610;248610;0;41477;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;7;18;;1.682;1.643;14;45;;;1.7;31;308725;116500;1508;7178;2000;0.521;0.286;0.647;0.257;0.484;;;;0.073;12;1190;6;17998;190545;190545;0;54074;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;7;19;;1.875;1.867;3;16;;;1.877;13;336550;127000;5850;7059;5000;0.46;0.324;0.422;0.041;0.473;;;;0.067;14;1336;5;16890;191095;191095;0;55410;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;7;20;;1.7;1.84;5;9;;;1.525;4;176225;66500;13414;3272;12500;0.456;0.338;0.35;0.0;0.358;;;;0.099;12;970;11;8002;97340;97340;0;62886;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;7;21;;;;;;;;;;198750;75000;3461;4341;3000;0.599;1.0;0.74;0.051;0.392;;;;0.08;12;1330;2;10863;126780;126780;0;21631;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;7;22;;1.233;1.3;1;3;;;1.2;2;389550;147000;3180;8919;4000;0.61;0.728;0.834;0.175;0.436;;;;0.07;23;2460;10;24480;258200;258200;0;47965;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;7;26;;;;;;;;;;3975;1500;;118;;0.797;1.0;0.6;1.0;1.0;;;;;;;1;370;2405;2405;0;896;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;7;27;;;;;;;;;;5300;2000;;179;;0.753;1.0;0.84;1.0;1.0;;;;;;;2;682;3525;3525;0;6756;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;7;28;;2.1;2.1;1;1;;;;;22525;8500;2089;17;2000;0.623;0.175;0.0;0.0;1.0;;;;;;;2;52;555;555;0;7717;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;7;29;;1.35;1.35;2;2;;;;;367025;138500;1491;8225;2500;0.618;0.71;0.902;0.316;0.487;;;;0.086;14;1260;4;23455;250525;250525;0;21553;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;7;30;;1.267;1.7;1;3;;;1.05;2;381600;144000;1852;8708;3000;0.618;0.706;0.885;0.271;0.429;;;;0.071;23;2500;5;23658;258860;258860;0;46424;1-83646-29989963B0;
4006;1-83646-29989963B0;FARID IVECO AD260;2016;7;31;;1.619;1.736;14;27;;;1.492;13;385575;145500;1798;9029;2000;0.518;0.346;0.742;0.259;0.45;;;;0.061;16;2268;3;21670;246575;246575;0;40198;1-83646-29989963B0;
